网络状态     Network Status
规则     rule
配置      configure
BSSID     BSSID
分享状态     Sharing status
请求     request
血氧     Blood oxygen
住址     address
指令     instructions
OPENID     OPENID
作息      rest
商品评价     Product evaluation
信用卡     Credit Card
软件特征     Software Features
导航     Navigation
睡眠时长     Sleep duration
SPACE ID     SPACE ID
习惯     habit
硬件数据     Hardware data
异常数据     abnormal data
照片     Photo
NAS     NAS
系统版本     System Version
资质     qualifications
用户     user
查询记录     Query records
房型      house,apartment
商品     commodity
参数     parameter
应用列表     Application List
咨询记录     search record
ROM     ROM
产品     product
上传人     Uploader
咨询记录     Consultation records
镜头型号     Lens model
出生日期       birth date
提供者      provider
异常状态     Abnormal state
系统配置     system configuration
产品功能     Product Features
国家     country
掩码     Mask
日志     log
监测     monitor
异常堆栈     Exception Stack
分享     share
区域     region
关注列表     Follow List
麦克风     Microphone
人脸     Face
图像     image
IESI     IESI
支付     payment
声纹      voiceprint
信用代码     Credit Code
机构代码     Organization code
外部存储     External storage
工单     Work Order
设置     setting
注册日期     Registration Date
机器编码     Machine code
开户行     Opening bank
阅读喜好     Reading preferences
速度     speed
呼吸频率     Respiratory rate
物品价值     Item Value
广告ID     Advertising ID
网页记录     Web Record
错误     error,bug
地图     Map
关键字     keyword
骨量     Bone mass
互动     interaction
订阅     subscribe
场景指令     Scene command
银行卡     bank card
财产     property
关联方     Related parties
风险     risk
资料     data
账户     account
面容      face
行程     trip
胎压     Tire pressure
会话     conversation
睡眠报告     Sleep Report
帐号ID     Account ID
报障     Trouble Reporting
问题     problem
报表     report form,statement
WIFI     WIFI
存储     Storage
分配     distribution
GAID     GAID
交流     communication
访问日期     Access Date
名单     name list
预约     Appointment
SSL     SSL
会员名     Member Name
榜单     List
关注     attention
税费     taxation
余额     balance
电话     Telephone
验证码     Verification Code
食材     Food ingredients
语音会话     Voice conversation
购买凭证     Purchase voucher
热度     degree of heat
头像     head portrait
文件大小     file size
日历     calendar
邮件记录     Mail record
互动记录     Interactive recording
名字     name
登陆状态     Login Status
训练记录     Training Record
体内水分     Body moisture
生物特征     biosig nature
功能     function
体脂率     Body fat ratio
内存     Memory
定时记录     Timing recording
短信     short message
DID     DID
预约     appointment
省份     province
频率     frequency
交易产品     Trading Products
昵称     nickname
剪贴板     clipboard
佩戴状态     Wearing status
通话状态     Call status
行踪轨迹     Track
肥胖水平     Obesity level
隶属部门     Department
手机机型     phone model
通讯录     mail list
民族     nation
登录     Sign in
声音     voice
密码     password
文章     Article
运动状态     motion state 
性别     Gender
FCM     FCM
组织认证     Organization certification
帐户     account
链接     link
相机     camera
蓝牙     Bluetooth
RSSI     RSSI
帐号     accounts
群体标签     Group tags
学历     education
留言     Leaving message
续航里程     Range
时间     time
跳跃模式     Jump mode
查询     query
睡眠状态     Sleep state
关注关系     Focus relationships
收件     Receiving
银行帐号     Bank account
呼吸率     Respiratory rate
ID     ID
图片     picture
画报     Pictorial newspaper
播放时长     Playback duration
浏览器     browser
泄露     leakage
报错     report errors
跟帖     comment 
加购     Additional purchase
心率     heart rate
欺诈     cheat
脂肪率     Fat content
VAID     VAID
对账     Reconciliation,account checking
变更     change
录音     sound recording
语音     voice
固件     firmware
车型     Vehicle type
沸点     boiling point
状态     state
车辆     vehicle
成交     deal
有效期限     Validity period
点赞     give the thumbs-up
指纹     fingerprint
验证KEY     Verify KEY
部门     department
加速度     acceleration
家庭成员      family member
卡号     Card Number
评论     comment
任职     Position
音频     audio frequency
会员身份     Membership
发票     invoice
使用频率    operating frequency
使用情况    service condition
解锁次数     Unlocking times
年龄     Age
版本     edition
标识     identification
身体指标     Physical indicators
体脂指标     Body fat index
当地天气     Local weather
发布     release
脉搏     pulse
直播     live broadcast
文章评论     Article Review
网络ID     Network ID
文字指令     Literal instruction
时区     time zone
联系     contact
血压     blood pressure
收货人     consignee
无线连接     Wireless connection
脂肪     Fat,axunge
沟通     communicate
肌肉含量     Muscle content
容量     capacity
INSTANCE ID     INSTANCE ID
跳跃次数     hop count
页面提示     Page Tips
心率    heart rate
定位     location
睡眠质量     sleep quality
组织名     Organization name
手机号码     phone number
访问量     Visits
反馈联系     Feedback Contact
网络环境     network environment 
赔付     Compensation
聊天     chat
证件     certificates
GUID     GUID
应用     application
点击记录     Click Record
睡眠记录     Sleep recording
崩溃     collapse
脸部图像     Face image
网络变化     Network changes
厂商     manufacturer
运行界面     Operation interface
会员等级     Membership level
菜谱     menu
文档     file
录制     Recording
语音命令     Voice commands
崩溃报告     Crash Report
网关     gateway
行业     industry
会员     member
序列码     sequence code
联网     networking
包裹     package
电子签名     electronic signature 
收款     Collection
CPU     CPU
钱包     wallet
体型     shape
触发事件     Trigger Event
识别码     Identification code
BMR     BMR
肌肤监测     Skin monitoring
屏幕显示     Screen display
票务     Ticketing
监控     monitor
ANDRIOD ID     ANDRIOD ID
收缩压     systolic pressure
浏览时长     Browse Duration
次数     frequency
购物车记录     Shopping Cart Record
睡眠状况     Sleep status
人数     people number
物流     logistics
程序包名     Package Name
看过记录     Read record
轨迹     particle
屏幕尺寸     Screen size
评分     score
步数     Steps
WLAN     WLAN
家庭住址     Home Address
舒张压     diastolic pressure
用户名     user name
职级     Rank
UTID     UTID
户籍     Registered residence
操作     operation
开关状态     Switch status
主营行业     Main industry
操作系统     operating system
绑定     binding
设备型号     equipment type
序列号     serial number
自动息屏     Automatic screen rest
睡眠周期     Sleep cycle
语音交互     Voice interaction
业务事件     business event
MIUI     MIUI
历史     history
IDFA     IDFA
行踪生理     Physiological whereabouts
睡眠     sleep
应用版本     Application version
GPS     GPS
口令     Password
SSID     SSID
居住地       residence place
缩放比例     Zoom
交易方     Counterparty
体重     weight
远程模式     Remote mode
通话记录     Call log
搜索次数       searches number
位置     position
路况     traffic
开户人     Account Holder
局域网模式     LAN mode
军官证       officers certificate
弹幕     bullet chat
热点     hotspot
故障码     Fault code
姓名     full name
讨论     discuss
近程     Short range
运行状态     running state 
通话     conversation
通信     signal communication
收藏     Collection
观影偏好     Viewing preference
统计数据     Statistics data
下单     place order
护照     passport
设备类别     equipment class
肌肤     skin
存储卡     Memory card
内容     content
体温     temperature
行车轨迹     Driving trajectory
路由标志     Routing flag
过敏史     Allergic history
诊疗     Diagnosis,treatment
社区     community
配送     Delivery
库存     stock
网页活动     Web Activity
收藏记录     Favorite Records
SIM     SIM
收件人     addressee
引用网址     Quoted URL
睡醒     Wake up
画面     frame
安卓版本     Android version
IMEI     IMEI
网卡     network card
还款金额     Repayment amount
户口本     Household register
收入     income
MEID     MEID
生活偏好     Life preferences
国家码     Country code
邮编     Zip code
安装列表     Installation List
访问足迹     Accessing Footsteps
关联公司     Related companies
跳绳次数     Rope skipping times
环境     environment
SN码     SN code
录像     videotape
消费偏好     Consumption preference
寄件     Mail
记录     record
身高     height
购买日期     Purchase Date
铃声     Ring tone
收货     Receipt
图文     Image,Text
温度     temperature
邮箱     mailbox
基站     base station
交易对象     Trading Partner
购机     Purchase
进货单     Purchase Order
轨迹     trajectory
频次     frequency
卡路里     calorie
市场活动     Marketing activities
关联链接     Associated Link
有效期     term of validity
配网     Distribution network
文件记录     files recording
利益人     Stakeholders
手机号     cell phone number
业务事件     Business Event
API     API
传感器     sensor
AAID     AAID
压力     pressure
相册     album
应用ID     App ID
通讯     communication
性能     performance
学校     school
路由器     Router
陀螺仪     gyroscope
角色     role
访问页面     Access Page
点击     click
身份证     ID card
地点     place
邮政编码     Postal Code
硬盘     Hard disk
付款     payment
专业     major
音乐     music
接收人     Recipient
网络     network
食材     Food Ingredients
观演人     Performer
SDK     SDK
评价     evaluate
BFM     BFM
预测     forecast
活动强度     Activity intensity
制造商     manufacturer
儿童     children
经度     Longitude
纬度     latitude
清晰度     definition
标识码     Identification code
COOKIE     COOKIE
职位     position
睡着     Sleep
工作状态     working condition 
屏幕     screen
阅读记录     Reading records
建立     establish
账号     account number
反馈记录     Feedback record
播放记录     Playback Record
生日     birthday
地址     address
副本     copy
ICCID     ICCID
车辆状态     Vehicle Status
电子邮箱     E-mail
预约日期     Appointment Date
工作模式     Working mode
空调     air conditioner
IP     IP
实名     Real name
点播     demand
软件列表     Software List
年龄段     age group
SMM     SMM
视频     video
记录路线     Record Route
反馈     feedback
语音指令     Voice commands
点评     comment
下载     download
搜索记录     Search Records
MAC     MAC
APPLE ID     APPLE ID
检索词     Search term
通讯记录     Communication records
BMI     BMI
城市代码     City Code
网络代码     Network code
浏览页面     Browse Page
身份     identity
城市     city
慢性病史     chronic illness 
排障过程     Obstacle removal process
媒体     media
显示     display
日期     date
识别号     Identification number
分辨率     resolving power
录像日期     Recording date
访问     visit
观影记录     Viewing record
输入     input
标识符     identifier 
信号强度     signal intensity 
故障     fault,malfunction
锻炼心率     Exercise heart rate
浏览记录     Browse Records
应用状态     Application Status
过敏食材     Allergic ingredients
宗教信仰     religious belief
影评     Film Review
浏览     browse
地区     region
注销申请     logout
交易记录     Transactions
风速     wind speed
识别符     ID
国籍     nationality
场景     scene
画像     portrait
ECV     ECV
店铺     shop
兴趣爱好     hobby
共享     share
名称     name
授权      grant authorization
楼盘     sale properties
认证     authentication
白名单     White List
醒来     wake
广播     radio broadcast
文字     written words
天气     weather
电子邮件     E-mail
运行模式     Operation mode
搜索词     Search term
电量     Electricity
剪切板     Shear plate
简介     brief introduction
国家代码     Country Code
OAID     OAID
交易     transaction
银行     bank
电池     Battery
IMSI     IMSI
开票     Invoicing
备注     remarks
面部     face
交互     interactive
关键词     key word
分享链接     Share Link
职业     occupation
购买渠道     Purchase channels
电压     Voltage
语言     language
身体评分     Physical score
光线     light
湿度     humidity
行驶里程     Mileage
IDFV     IDFV
问卷答复     Questionnaire response
存储状态     Storage Status
留言文件     Message file
日程记录     Schedule records
行车记录     Driving record
搜索     search
营业执照     Business license
购物车     Shopping Cart
订单     order
里程     mileage
通信记录     Communication records
水质     Water Quality
税号     duty paragraph
登陆名     Login name
健康     healthy
心跳频率     heart rate 
文件     file
联系人     contacts
检索     retrieval
特征     features
聊天记录     Chat records
磁场     magnetic field
偏好特征     Preference characteristics
订购人     Subscriber
数字证书     digital certificate
锻炼时长     Exercise duration
行车     Driving
认证公函     Certification letter
血糖     blood sugar
DNS     DNS
