com.alibaba.android.rimet | 钉钉
com.taobao.trip | 飞猪旅行
com.youku.phone | 优酷视频
com.tmall.wireless | 手机天猫
com.taobao.qianniu | 千牛
com.alibaba.cloudmail | 阿里邮箱
com.taobao.aliAuction | 阿里拍卖
com.alibaba.aliyun | 阿里云
com.alicloud.databox | 阿里云盘
com.wudaokou.hippo | 盒马
com.moji.mjweather | 墨迹天气
com.alimama.moon | 淘宝联盟
com.shuqi.controller | 书旗小说
com.UCMobile | UC浏览器
com.taobao.etao | 一淘
com.taobao.taobao | 淘宝
me.ele | 饿了么
com.alibaba.wireless.lstretailer | 阿里零售通
com.autonavi.minimap | 高德地图
com.alimama.moon | 淘宝联盟
com.eg.android.AlipayGphone | 支付宝
com.taobao.mobile.dipei | 口碑
com.cainiao.wireless | 菜鸟
com.taobao.movie.android | 淘票票
com.antfortune.wealth | 蚂蚁财富
